# Individual alphabet characters
su4	s u4
su5	s u4
suan1	s uan1
suan2	s uan2
suan3	s uan3
suan4	s uan4
suan5	s uan4
sui1	s uei1
sui2	s uei2
sui3	s uei3
sui4	s uei4
sui5	s uei4
sun1	s uen1
sun2	s uen2
sun3	s uen3
sun4	s uen4
sun5	s uen4
suo1	s uo1
suo2	s uo2
suo3	s uo3
suo4	s uo4
suo5	s uo4
ta1	t a1
ta2	t a2
ta3	t a3
ta4	t a4
ta5	t a4
tai1	t ai1
tai2	t ai2
tai3	t ai3
tai4	t ai4
tai5	t ai4
tan1	t an1
tan2	t an2
tan3	t an3
tan4	t an4
tan5	t an4
tang1	t ang1
tang2	t ang2
tang3	t ang3
tang4	t ang4
tang5	t ang4
tao1	t ao1
tao2	t ao2
tao3	t ao3
tao4	t ao4
tao5	t ao4
te1	t e1
te2	t e2
te3	t e3
te4	t e4
te5	t e4
tei1	t ei1
tei2	t ei2
tei3	t ei3
tei4	t ei4
tei5	t ei4
teng1	t eng1
teng2	t eng2
teng3	t eng3
teng4	t eng4
teng5	t eng4
ti1	t i1
ti2	t i2
ti3	t i3
ti4	t i4
ti5	t i4
tian1	t ian1
tian2	t ian2
tian3	t ian3
tian4	t ian4
tian5	t ian4
tiao1	t iao1
tiao2	t iao2
tiao3	t iao3
tiao4	t iao4
tiao5	t iao4
tie1	t ie1
tie2	t ie2
tie3	t ie3
tie4	t ie4
tie5	t ie4
ting1	t ing1
ting2	t ing2
ting3	t ing3
ting4	t ing4
ting5	t ing4
tong1	t ong1
tong2	t ong2
tong3	t ong3
tong4	t ong4
tong5	t ong4
tou1	t ou1
tou2	t ou2
tou3	t ou3
tou4	t ou4
tou5	t ou4
tu1	t u1
tu2	t u2
tu3	t u3
tu4	t u4
tu5	t u4
tuan1	t uan1
tuan2	t uan2
tuan3	t uan3
tuan4	t uan4
tuan5	t uan4
tui1	t uei1
tui2	t uei2
tui3	t uei3
tui4	t uei4
tui5	t uei4
tun1	t uen1
tun2	t uen2
tun3	t uen3
tun4	t uen4
tun5	t uen4
tuo1	t uo1
tuo2	t uo2
tuo3	t uo3
tuo4	t uo4
tuo5	t uo4
wa1	ua1
wa2	ua2
wa3	ua3
wa4	ua4
wa5	ua4
wai1	uai1
wai2	uai2
wai3	uai3
wai4	uai4
wai5	uai4
wan1	uan1
wan2	uan2
wan3	uan3
wan4	uan4
wan5	uan4
wang1	uang1
wang2	uang2
wang3	uang3
wang4	uang4
wang5	uang4
wei1	uei1
wei2	uei2
wei3	uei3
wei4	uei4
wei5	uei4
wen1	uen1
wen2	uen2
wen3	uen3
wen4	uen3
wen5	uen4
weng1	ueng1
weng2	ueng2
weng3	ueng3
weng4	ueng4
weng5	ueng4
wo1	uo1
wo2	uo2
wo3	uo3
wo4	uo4
wo5	uo4
wu1	u1
wu2	u2
wu3	u3
wu4	u4
wu5	u4
xi1	x i1
xi2	x i2
xi3	x i3
xi4	x i4
xi5	x i4
xia1	x ia1
xia2	x ia2
xia3	x ia3
xia4	x ia4
xia5	x ia4
xian1	x ian1
xian2	x ian2
xian3	x ian3
xian4	x ian4
xian5	x ian4
xiang1	x iang1
xiang2	x iang2
xiang3	x iang3
xiang4	x iang4
xiang5	x iang4
xiao1	x iao1
xiao2	x iao2
xiao3	x iao3
xiao4	x iao4
xiao5	x iao4
xie1	x ie1
xie2	x ie2
xie3	x ie3
xie4	x ie4
xie5	x ie4
xin1	x in1
xin2	x in2
xin3	x in3
xin4	x in4
xin5	x in4
xing1	x ing1
xing2	x ing2
xing3	x ing3
xing4	x ing4
xing5	x ing4
xiong1	x iong1
xiong2	x iong2
xiong3	x iong3
xiong4	x iong4
xiong5	x iong4
xiu1	x iou1
xiu2	x iou2
xiu3	x iou3
xiu4	x iou4
xiu5	x iou4
xu1	x yv1
xu2	x yv2
xu3	x yv3
xu4	x yv4
xu5	x yv4
xuan1	x yvan1
xuan2	x yvan2
xuan3	x yvan3
xuan4	x yvan4
xuan5	x yvan4
xue1	x yve1
xue2	x yve2
xue3	x yve3
xue4	x yve4
xue5	x yve4
xun1	x yvn1
xun2	x yvn2
xun3	x yvn3
xun4	x yvn3
xun5	x yvn4
ya1	ia1
ya2	ia2
ya3	ia3
ya4	ia4
ya5	ia4
yan1	ian1
yan2	ian2
yan3	ian3
yan4	ian4
yan5	ian4
yang1	iang1
yang2	iang2
yang3	iang3
yang4	iang4
yang5	iang4
yao1	iao1
yao2	iao2
yao3	iao3
yao4	iao4
yao5	iao4
ye1	ie1
ye2	ie2
ye3	ie3
ye4	ie4
ye5	ie4
yi1	i1
yi2	i2
yi3	i3
yi4	i4
yi5	i4
yin1	in1
yin2	in2
yin3	in3
yin4	in4
yin5	in4
ying1	ing1
ying2	ing2
ying3	ing3
ying4	ing4
ying5	ing4
yo1	i o1
yo2	i o2
yo3	i o3
yo4	i o4
yo5	i o4
yong1	iong1
yong2	iong2
yong3	iong3
yong4	iong4
yong5	iong4
you1	iou1
you2	iou2
you3	iou3
you4	iou3
you5	iou4
yu1	yv1
yu2	yv2
yu3	yv3
yu4	yv4
yu5	yv4
yuan1	yvan1
yuan2	yvan2
yuan3	yvan3
yuan4	yvan4
yuan5	yvan4
yue1	yve1
yue2	yve2
yue3	yve3
yue4	yve4
yue5	yve4
yun1	yvn1
yun2	yvn2
yun3	yvn3
yun4	yvn4
yun5	yvn4
za1	z a1
za2	z a2
za3	z a3
za4	z a4
za5	z a4
zai1	z ai1
zai2	z ai2
zai3	z ai3
zai4	z ai4
zai5	z ai4
zan1	z an1
zan2	z an2
zan3	z an3
zan4	z an4
zan5	z an4
zang1	z ang1
zang2	z ang2
zang3	z ang3
zang4	z ang4
zang5	z ang4
zao1	z ao1
zao2	z ao2
zao3	z ao3
zao4	z ao4
zao5	z ao4
ze1	z e1
ze2	z e2
ze3	z e3
ze4	z e4
ze5	z e4
zei1	z ei1
zei2	z ei2
zei3	z ei3
zei4	z ei4
zei5	z ei4
zen1 	z en1
zen2	z en2
zen3	z en3
zen4	z en4
zen5	z en4
zeng1	z eng1
zeng2	z eng2
zeng3	z eng3
zeng4	z eng4
zeng5	z eng4
zha1	zh a1
zha2	zh a2
zha3	zh a3
zha4	zh a4
zha5	zh a4
zhai1	zh ai1
zhai2	zh ai2
zhai3	zh ai3
zhai4	zh ai4
zhai5	zh ai4
zhan1	zh an1
zhan2	zh an2
zhan3	zh an3
zhan4	zh an4
zhan5	zh an4
zhang1	zh ang1
zhang2	zh ang2
zhang3	zh ang3
zhang4	zh ang4
zhang5	zh ang4
zhao1	zh ao1
zhao2	zh ao2
zhao3	zh ao3
zhao4	zh ao4
zhao5	zh ao4
zhe1	zh e1
zhe2	zh e2
zhe3	zh e3
zhe4	zh e4
zhe5	zh e4
zhei1	zh ei1
zhei2	zh ei2
zhei3	zh ei3
zhei4	zh ei4
zhei5	zh ei4
zhen1	zh en1
zhen2	zh en2
zhen3	zh en3
zhen4	zh en4
zhen5	zh en4
zheng1	zh eng1
zheng2	zh eng2
zheng3	zh eng3
zheng4	zh eng4
zheng5	zh eng4
zhi1	zh yi1
zhi2	zh yi2
zhi3	zh yi3
zhi4	zh yi4
zhi5	zh yi4
zhong1	zh ong1
zhong2	zh ong2
zhong3	zh ong3
zhong4	zh ong4
zhong5	zh ong4
zhou1	zh ou1
zhou2	zh ou2
zhou3	zh ou3
zhou4	zh ou4
zhou5	zh ou4
zhu1	zh u1
zhu2	zh u2
zhu3	zh u3
zhu4	zh u4
zhu5	zh u4
zhua1	zh ua1
zhua2	zh ua2
zhua3	zh ua3
zhua4	zh ua4
zhua5	zh ua4
zhuai1	zh uai1
zhuai2	zh uai2
zhuai3	zh uai3
zhuai4	zh uai4
zhuai5	zh uai4
zhuan1	zh uan1
zhuan2	zh uan2
zhuan3	zh uan3
zhuan4	zh uan4
zhuan5	zh uan4
zhuang1	zh uang1
zhuang1 zh uang2
zhuang3	zh uang3
zhuang4	zh uang4
zhuang5	zh uang4
zhui1	zh uei1
zhui2	zh uei2
zhui3	zh uei3
zhui4	zh uei4
zhui5	zh uei4
zhun1	zh uen1
zhun2	zh uen2
zhun3	zh uen3
zhun4	zh uen4
zhun5	zh uen4
zhuo1	zh uo1
zhuo2	zh uo2
zhuo3	zh uo3
zhuo4	zh uo4
zhuo5	zh uo4
zi1	z yi1
zi2	z yi2
zi3	z yi3
zi4	z yi4
zi5	z yi4
zong1	z ong1
zong2	z ong2
zong3	z ong3
zong4	z ong4
zong5	z ong4
zou1	z ou1
zou2	z ou2
zou3	z ou3
zou4	z ou4
zou5	z ou4
zu1	z u1
zu2	z u2
zu3	z u3
zu4	z u4
zu5	z u4
zuan1	z uan1
zuan2	z uan2
zuan3	z uan3
zuan4	z uan4
zuan5	z uan4
zui1	z uei1
zui2	z uei2
zui3	z uei3
zui4	z uei4
zui5	z uei4
zun1	z uen1
zun2	z uen2
zun3	z uen3
zun4	z uen4
zun5	z uen4
zuo1	z uo1
zuo2	z uo2
zuo3	z uo3
zuo4	z uo4
zuo5	z uo4
