# Individual alphabet characters
bin4	b in4
bin5	b in4
bing1	b ing1
bing2	b ing2
bing3	b ing3
bing4	b ing4
bing5	b ing4
bo1	b o1
bo2	b o2
bo3	b o3
bo4	b o4
bo5	b o4
bu1	b u1
bu2	b u2
bu3	b u3
bu4	b u4
bu5	b u4
ca1	c a1
ca2	c a2
ca3	c a3
ca4	c a4
ca5	c a4
cai1	c ai1
cai2	c ai2
cai3	c ai3
cai4	c ai4
cai5	c ai4
can1	c an1
can2	c an2
can3	c an3
can4	c an4
can5	c an4
cang1	c ang1
cang2	c ang2
cang3	c ang3
cang4	c ang4
cang5	c ang4
cao1	c ao1
cao2	c ao2
cao3	c ao3
cao4	c ao4
cao5	c ao4
ce1	c e1
ce2	c e2
ce3	c e3
ce4	c e4
ce5	c e4
cen1	c en1
cen2	c en2
cen3	c en3
cen4	c en4
cen5	c en4
ceng1	c eng1
ceng2	c eng2
ceng3	c eng3
ceng4	c eng4
ceng5	c eng4
cha1	ch a1
cha2	ch a2
cha3	ch a3
cha4	ch a4
cha5	ch a4
chai1	ch ai1
chai2	ch ai2
chai3	ch ai3
chai4	ch ai4
chai5	ch ai4
chan1	ch an1
chan2	ch an2
chan3	ch an3
chan4	ch an4
chan5	ch an4
chang1	ch ang1
chang2	ch ang2
chang3	ch ang3
chang4	ch ang4
chang5	ch ang4
chao1	ch ao1
chao2	ch ao2
chao3	ch ao3
chao4	ch ao4
chao5	ch ao4
che1	ch e1
che2	ch e2
che3	ch e3
che4	ch e4
che5	ch e4
chen1	ch en1
chen2	ch en2
chen3	ch en3
chen4	ch en4
chen5	ch en4
cheng1	ch eng1
cheng2	ch eng2
cheng3	ch eng3
cheng4	ch eng4
cheng5	ch eng4
chi1	ch yi1
chi2	ch yi2
chi3	ch yi3
chi4	ch yi4
chi5	ch yi4
chong1	ch ong1
chong2	ch ong2
chong3	ch ong3
chong4	ch ong4
chong5	ch ong4
chou1	ch ou1
chou2	ch ou2
chou3	ch ou3
chou4	ch ou4
chou5	ch ou4
chu1	ch u1
chu2	ch u2
chu3	ch u3
chu4	ch u4
chu5	ch u4
chua1	ch ua1
chuai1	ch uai1
chuai2	ch uai2
chuai3	ch uai3
chuai4	ch uai4
chuai5	ch uai4
chuan1	ch uan1
chuan2	ch uan2
chuan3	ch uan3
chuan4	ch uan4
chuan5	ch uan4
chuang1	ch uang1
chuang2	ch uang2
chuang3	ch uang3
chuang4	ch uang4
chuang5	ch uang4
chui1	ch uei1
chui2	ch uei2
chui3	ch uei3
chui4	ch uei4
chui5	ch uei4
chun1	ch uen1
chun2	ch uen2
chun3	ch uen3
chun4	ch uen4
chun5	ch uen4
chuo1	ch uo1
chuo2	ch uo2
chuo3	ch uo3
chuo4	ch uo4
chuo5	ch uo4
ci1	c yi1
ci2	c yi2
ci3	c yi3
ci4	c yi4
ci5	c yi4
cong1	c ong1
cong2	c ong2
cong3	c ong3
cong4	c ong4
cong5	c ong4
cou1	c ou1
cou2	c ou2
cou3	c ou3
cou4	c ou4
cou5	c ou4
cu1	c u1
cu2	c u2
cu3	c u3
cu4	c u4
cu5	c u4
cuan1	c uan1
cuan2	c uan2
cuan3	c uan3
cuan4	c uan4
cuan5	c uan4
cui1	c uei1
cui2	c uei2
cui3	c uei3
cui4	c uei4
cui5	c uei4
cun1	c uen1
cun2	c uen2
cun3	c uen3
cun4	c uen4
cun5	c uen4
cuo1	c uo1
cuo2	c uo2
cuo3	c uo3
cuo4	c uo4
cuo5	c uo4
da1	d a1
da2	d a2
da3	d a3
da4	d a4
da5	d a4
dai1	d ai1
dai2	d ai2
dai3	d ai3
dai4	d ai4
dai5	d ai4
dan1	d an1
dan2	d an2
dan3	d an3
dan4	d an4
dan5	d an4
dang1	d ang1
dang2	d ang2
